,Date,year,month,OVX_avg,OVX_sum,OVX_end,VIX_avg,VIX_sum,VIX_end,WorldOilProd,CrudeOilStock,PetroleumStockUS,PetroleumStockOECD,IndustrialProd,EconActivityShock,OilConsumptionDemandShock,InventoryDemandShock,OilSupplyShock,WTISpotPrice,GPR,CPI,StockVol,OilVol,VolRatio,ScaleFactor,OilInventory
90,2014-12-01,2014,12,47.805909090909,1051.73,50.24,16.2922727272727,358.43,16.23,11.29365253811503,1051.824,1827.038,4266.531,4.818874308094199,-0.051394996797089,-7.71268149803179,-1.13805912963864,2.75868193059399,3.222711811760883,86.5262222290039,236.252,0.0019928443050824503,0.016473434445880453,8.266292757476052,2.3352174393745506,7.806386087494269
91,2015-01-01,2015,1,55.1705,1103.41,58.62,19.1195,382.39,16.23,11.286383144377714,1080.169,1850.359,4297.883,4.824413310900799,0.927091035984485,-9.82409071069172,0.701675906785232,0.292842683807621,3.0014793791914607,111.985694885254,234.747,0.0022266237352044273,0.02534355734346456,11.38205658314235,2.3227292649696625,7.8276156909256525
92,2015-02-01,2015,2,57.7994736842105,1098.19,55.85,15.9042105263157,302.18,16.23,11.283800057978448,1106.266,1850.437,4294.316,4.821708293206341,-0.165680954248168,1.94226795860644,1.9021185288413,-0.991603940054476,3.0676866518874153,111.924697875977,235.342,0.0008135422421107157,0.03247669435990116,39.92010823634819,2.3207037040439635,7.850616119888781
93,2015-03-01,2015,3,51.5304545454545,1133.67,53.72,14.8127272727272,325.88,16.23,11.295046904236694,1134.15,1883.297,4352.484,4.821348667465652,-0.759866166956439,-3.73650913854836,1.13963871260912,2.86034795914512,3.0088840430791928,104.23526763916,235.976,0.0017203727396693622,0.01703898542364814,9.904240535061522,2.3110980371125747,7.871361503008843
94,2015-04-01,2015,4,42.7623809523809,898.01,36.28,13.4947619047619,283.39,16.23,11.289992016582852,1143.66,1908.969,4382.629,4.82078513593219,-0.394129243088807,4.59916031574717,-0.473990240641297,0.072560180670496,3.137680994535602,102.190490722656,236.222,0.0005743441714406714,0.015322723849230675,26.678644288833844,2.2958094133534908,7.8730743918596895
95,2015-05-01,2015,5,34.1805,683.61,33.74,13.3385,266.77,16.23,11.28947874270435,1141.306,1930.787,4448.66,4.818250209812231,-0.841408677052787,3.66386770637814,0.492564046236281,-0.00872792318616,3.219209101252326,76.2623291015625,237.001,0.000887000873633741,0.0076582799518535504,8.633903505055391,2.304065647842046,7.874603735123347
96,2015-06-01,2015,6,32.5436363636363,715.96,32.43,14.3395454545454,315.47,16.23,11.294742215990105,1132.701,1941.278,4444.813,4.822980269190359,-0.0124926544807731,0.658377997106445,-0.791922549032325,1.27145883295406,3.225681781482666,85.9059677124023,237.657,0.0010521623056187004,0.006049133626282137,5.749240011715759,2.289632396802519,7.860751604319392
97,2015-07-01,2015,7,38.1122727272727,838.47,38.82,14.3522727272727,315.75,16.23,11.30126263227416,1119.943,1939.312,4450.449,4.820880246719682,-0.487773994662701,-3.62122619429476,-0.588525623334669,1.37122833672543,3.0626195889333463,106.808662414551,238.034,0.0011597814218022398,0.007254527937337133,6.255082036116749,2.2948597234483157,7.85170478910088
98,2015-08-01,2015,8,43.9485714285714,922.92,54.37,19.4280952380952,407.99,16.23,11.299385649798714,1120.983,1958.37,4509.434,4.824234191530152,0.508197247043163,-5.00795182565095,-0.662842088950244,0.812680975133843,2.8909331470760975,82.4785308837891,238.033,0.005846949589920121,0.03391460528791574,5.800392968392099,2.3026465887447216,7.85602041008245
99,2015-09-01,2015,9,49.6028571428571,1041.66,45.52,24.3771428571428,511.92,16.23,11.296744369411142,1124.257,1967.709,4513.578,4.823272640420854,-0.0399990833799904,1.26036619614502,0.0388547545808734,-0.655021591834837,2.9522836524838194,98.7674560546875,237.498,0.00405349447027715,0.02083538023204067,5.14010328244412,2.2938239343317535,7.855097917257017
100,2015-10-01,2015,10,42.8231818181818,942.11,41.95,16.7895454545454,369.37,16.23,11.298478364670915,1150.339,1975.254,4516.152,4.826542980395744,-0.117362222724423,-1.59423727909639,1.68481916541156,-0.0170291395280265,2.9674345956456727,91.931884765625,237.733,0.0016189099225517693,0.013483358355126531,8.32866496603696,2.2863651965772505,7.874775266672872
101,2015-11-01,2015,11,44.0395,880.79,48.14,16.21,324.2,16.23,11.305786774833516,1151.117,1989.222,4534.633,4.822786398571936,-0.873142749772965,-0.560542111003059,-1.06845818701197,1.20404729811973,2.8809194000418694,150.715881347656,238.017,0.0011187573249243402,0.009754854705885396,8.71936611145326,2.2796012712507703,7.8724886009368
102,2015-12-01,2015,12,49.0318181818181,1078.7,46.57,18.0254545454545,396.56,16.23,11.307700905278784,1144.339,1982.022,4556.195,4.820384455388081,-0.531001235685601,-4.7012882711628,-0.448645622211811,1.04501651742124,2.7499441264825824,148.236877441406,237.761,0.0028384825284703636,0.01614012040912638,5.686179233882466,2.2987610631970785,7.874952766340501
103,2016-01-01,2016,1,60.9142105263157,1157.37,61.86,23.7178947368421,450.64,16.23,11.307948767529533,1166.883,2013.657,4618.328,4.831171127261331,1.10546829916088,-8.38338535464542,0.657402925709744,1.2322703204811,2.5900483341722813,118.211143493652,237.652,0.00430131577971563,0.04806651818157408,11.174840593719876,2.293502816020802,7.892171633072223
104,2016-02-01,2016,2,67.7465,1354.93,60.01,22.517,450.34,16.23,11.298556553655464,1187.267,2017.956,4622.895,4.828537547662702,0.0296397695014522,-1.25193652910167,0.900036841165406,-1.33681123796059,2.547500888126463,103.749649047852,237.336,0.0026015427143405026,0.04890847869571017,18.79979845270716,2.290879979543657,7.908345320426891
105,2016-03-01,2016,3,48.7936363636363,1073.46,45.91,15.8490909090909,348.68,16.23,11.298205708658864,1199.923,2024.345,4615.852,4.830557013546471,-0.105049907531991,6.78112526768351,-0.0363449382650752,-0.481863373372437,2.7582368125535077,109.720291137695,238.08,0.0012741565867467899,0.025018069146992554,19.63500358371913,2.2801706230904317,7.914262941905816
106,2016-04-01,2016,4,46.1747619047619,969.67,42.52,14.3004761904761,300.31,16.23,11.28700618989668,1204.43,2035.178,4623.848,4.832392011654261,-0.85672348614705,-0.135607860800855,-0.469320652795334,-0.0289065136307181,2.8361959471070266,85.2214508056641,238.992,0.0008177576585407949,0.02757825493589055,33.72423926313467,2.2719624524243085,7.914405679466229
107,2016-05-01,2016,5,41.367619047619,868.72,38.08,14.8528571428571,311.91,16.23,11.277088441328194,1206.965,2050.532,4649.289,4.831892922328188,-0.474822166656483,3.72721320223978,0.289104986741198,-1.99063853200799,2.970337076143017,88.3324203491211,239.557,0.000995574762373554,0.006256422129374594,6.284231346381894,2.267357446750404,7.9144792561671915
108,2016-06-01,2016,6,39.7240909090909,873.93,38.09,17.7745454545454,391.04,16.23,11.288398206775051,1195.957,2049.443,4653.07,4.838793239717732,0.188699677855834,1.78250021005117,0.218981288592468,0.18344223020373,3.010516994808036,90.1681289672852,240.222,0.0028644233314232275,0.014184675756465436,4.952017950998042,2.2704071301324307,7.906661148579813
109,2016-07-01,2016,7,39.989,799.78,41.08,13.1585,263.17,16.23,11.297346976274822,1188.554,2066.491,4707.305,4.8339138382937135,-0.846688901143127,-2.18775441594632,-0.00929281925886175,0.878633707082763,2.9229648251607867,114.610450744629,240.101,0.00047766293960490214,0.009105239687290132,19.062060152335686,2.2779218491636306,7.903756278851111
110,2016-08-01,2016,8,38.9734782608695,896.39,39.5,12.3995652173913,285.19,16.23,11.290581593826584,1181.768,2066.35,4692.035,4.836863086440013,0.350713330741888,2.41257155045115,-0.762213694937048,-0.732910764935671,2.9226838326049367,98.7384872436523,240.545,0.0002791636035188028,0.013349226789772543,47.81865050281678,2.2706874440438454,7.894849525638062
111,2016-09-01,2016,9,41.0047619047619,861.1,39.31,14.2195238095238,298.61,16.23,11.294670694071435,1166.627,2051.217,4664.859,4.835976185870781,-0.496450085812622,2.35154914952771,-1.15745414934537,0.102173587629962,2.9302977396131813,104.545227050781,241.176,0.0016731134800319846,0.015267910336195276,9.125448165000382,2.2741908827783703,7.883496291452134
112,2016-10-01,2016,10,36.0471428571428,756.99,40.96,14.585238095238,306.29,16.23,11.309235950789942,1186.29,2053.013,4652.637,4.842879443351815,0.590679006048606,2.80350803989624,1.54388320556039,0.474430134710511,3.024916577829015,85.7477874755859,241.741,0.00036405226768728685,0.006120724835764621,16.812763932629018,2.2662481922910374,7.89671175448191
